annotated,common_name_correction,broad,order
african_crowned_crane,african_crowned_crane,crane,gruiformes
african_goose,african_goose,goose,anseriformes
africangoose,african_goose,goose,anseriformes
aix_sponsa,wood_duck,duck,anseriformes
alpaca,alpaca,alpaca,artiodactyla
Amazon parrot,amazon_parrot,passerine,psittaciformes
American Raven,american_raven,passerine,passeriformes
American White Pelican,american_white_pelican,pelican,pelecaniformes
american_coot,american_coot,coot,gruiformes
american_green_winged_teal,american_green-winged_teal,duck,anseriformes
american_oystercatcher,american_oystercatcher,wader,charadriiformes
American_Pekin_duck,american_pekin_duck,duck,anseriformes
american_widgeon,american_wigeon,duck,anseriformes
american_wigeon,american_wigeon,duck,anseriformes
american_wood_stork,american_wood_stork,stork,ciconiiformes
americanblackduck,american_black_duck,duck,anseriformes
americanbluewingedteal,american_blue-winged_teal,duck,anseriformes
americanbuffgoose,american_buff_goose,goose,anseriformes
americancrow,american_crow,passerine,passeriformes
americangreen_wingedteal,green-winged_teal,duck,anseriformes
americangreen-wingedteal,american_green-winged_teal,duck,anseriformes
AmericanKestrel,american_kestrel,raptor,falconiformes
americanpelican,american_pelican,pelican,pelecaniformes
Americanrobin,american_robin,robin,passeriformes
americanwhitepelican,americanwhitepelican,pelican,pelecaniformes
americanwigeon,american_wigeon,duck,anseriformes
anas_acuta,northern_pintail,duck,anseriformes
anas_americana,american_wigeon,duck,anseriformes
anas_carolinensis,green-winged_teal,duck,anseriformes
anas_clypeata,northern_shoveler,duck,anseriformes
anas_crecca,green-winged_teal,duck,anseriformes
anas_cyanoptera,cinnamon_teal,duck,anseriformes
anas_discors,blue-winged_teal,duck,anseriformes
anas_georgica,yellow-billed_pintail,duck,anseriformes
anas_plathyrhynchos,mallard,duck,anseriformes
anas_platyrhynchos,mallard,duck,anseriformes
anas_platyrhynchos_var._domesticus,domestic_mallard,duck,anseriformes
anas_platyrhynchos_x_anas_acuta,mallard-pintail_hybrid,duck,anseriformes
anas_querquedula,gargeny,duck,anseriformes
anas_rubripes,american_black_duck,duck,anseriformes
anas_sp.,duck,duck,anseriformes
anas_strepera,american_black_duck,duck,anseriformes
anasplatyrhynchos,mallard,duck,anseriformes
anasplatyrhynchosdomestica,domestic_duck,duck,anseriformes
anasplatyrhynchosdomesticus,domestic_duck,duck,anseriformes
